name,artist,url,release_date,added_at,created_at
Younger Me,Abe Parker,https://open.spotify.com/album/4YI8iB9csSyJOEjgaNO0GL,2023-08-11,2023-08-21,2023-08-27
The Other Woman,Raine,https://open.spotify.com/album/1HtSnYl8tUvfs8pVgJN5xz,2023-08-09,2023-08-21,2023-08-27
涙は星屑のように,Yasuyuki Horigome,https://open.spotify.com/album/5dGmv1ySk8MBfoYIBHciMH,2023-08-16,2023-08-21,2023-08-27
Pano Maging Tayo,"['This Band', 'Anthony Meneses']",https://open.spotify.com/album/6pALEjpUjLp5Fx4HfBOWbX,2023-08-18,2023-08-21,2023-08-27
Iris - Acoustic,Jonah Baker,https://open.spotify.com/album/3C6YfaOgmdH7A40A6JHuMU,2023-08-18,2023-08-21,2023-08-27
Unblock Me,Ali Gatie,https://open.spotify.com/album/3xSkCADlFm3G6ZkWZQt4hO,2023-08-18,2023-08-21,2023-08-27
Weird,Hana Eid,https://open.spotify.com/album/7n95zSWEhljBwhZnbteffk,2023-08-18,2023-08-21,2023-08-27
How I Learned To Pray (feat. Luke Combs),"['Charlie Worsham', 'Luke Combs']",https://open.spotify.com/album/0QikezpLsccyG7W7oNwQ8D,2023-08-18,2023-08-22,2023-08-27
Find Another Bar,Chris Lane,https://open.spotify.com/album/4en5g5FBBXUbCKofgzYgUZ,2023-08-18,2023-08-22,2023-08-27
Creator,Phil Wickham,https://open.spotify.com/album/4oYqY36ZQDueqm535USQ2C,2023-08-18,2023-08-22,2023-08-27
Unfinished House,Cautious Clay,https://open.spotify.com/album/71VLepfDo6qnAAHA0SUoyF,2023-08-18,2023-08-22,2023-08-27
Erotic Electronic,Slayyyter,https://open.spotify.com/album/2HZkihcW7WfCMaok4rTCEk,2023-08-18,2023-08-22,2023-08-27
So You Are Tired,Sufjan Stevens,https://open.spotify.com/album/4lEHaKYeQFwCR9fpbcjVzB,2023-08-14,2023-08-22,2023-08-27
Intro: Singularity,BTS,https://open.spotify.com/album/4NIqCxqP9o8Tp6tGLBqd8O,2018-05-18,2023-08-23,2023-08-27
